theta_a,theta_f,coverage,correctness,product,f1,false_alarm_pct,accuracy,refused
0.3,0.62,0.8819444444444444,0.531496062992126,0.46875000000000006,0.37170010559662087,36.736111111111114,53.14960629921261,510
0.32,0.66,0.874537037037037,0.5359978824775014,0.46875,0.36646187206360675,35.34722222222222,53.59978824775013,542
0.35000000000000003,0.7100000000000001,0.862037037037037,0.5437701396348013,0.46875,0.3557072430792568,32.673611111111114,54.377013963480124,596
0.33,0.67,0.8740740740740741,0.5360169491525424,0.46851851851851856,0.3619810633648944,34.89583333333333,53.60169491525424,544
0.34,0.6900000000000001,0.8673611111111111,0.5398985855350947,0.46828703703703706,0.35767511177347244,33.645833333333336,53.98985855350947,573
0.36000000000000004,0.7400000000000001,0.8530092592592593,0.5489823609226594,0.46828703703703706,0.3522992985190959,31.25,54.89823609226594,635
0.29000000000000004,0.6,0.8854166666666666,0.5288888888888889,0.468287037037037,0.3729993041057759,37.604166666666664,52.888888888888886,495
0.31,0.64,0.8747685185185186,0.5347975654935168,0.46782407407407406,0.3694404591104735,35.729166666666664,53.47975654935168,541
0.37,0.7600000000000001,0.85,0.5501089324618736,0.46759259259259256,0.34651898734177217,30.520833333333336,55.010893246187365,648
0.29000000000000004,0.61,0.8814814814814815,0.5301995798319328,0.4673611111111111,0.37294076410795646,37.15277777777778,53.01995798319328,512
0.3,0.63,0.8768518518518519,0.5329989440337909,0.4673611111111111,0.37113402061855677,36.18055555555556,53.29989440337909,532
0.35000000000000003,0.7200000000000001,0.8576388888888888,0.5449392712550607,0.46736111111111106,0.3545176110260337,32.22222222222222,54.49392712550607,615
0.36000000000000004,0.7500000000000001,0.8497685185185185,0.5497139743938981,0.4671296296296297,0.3510011778563015,30.9375,54.97139743938981,649
0.33,0.68,0.867824074074074,0.5382768738330221,0.4671296296296296,0.3619609288610395,34.166666666666664,53.82768738330221,571
0.35000000000000003,0.7300000000000001,0.8532407407407407,0.5472056429734129,0.4668981481481481,0.35584716325742966,31.631944444444443,54.72056429734129,634
0.39,0.7800000000000001,0.8456018518518519,0.5521489186969614,0.4668981481481481,0.3371150729335494,29.54861111111111,55.21489186969614,667
0.31,0.65,0.8722222222222222,0.535031847133758,0.4666666666666667,0.367965367965368,35.520833333333336,53.503184713375795,552
